AssetID,Day of DateOccurred,ProblemTypeName
0AC7852A-BCDA-E111-AD34-0025B500016E,"October 9, 2012",Output Quality
0AC7852A-BCDA-E111-AD34-0025B500016E,"October 22, 2012",Output Quality
0AC7852A-BCDA-E111-AD34-0025B500016E,"December 4, 2012",Device Fault
0AC7852A-BCDA-E111-AD34-0025B500016E,"January 10, 2013",Paper Jam
0AC7852A-BCDA-E111-AD34-0025B500016E,"February 6, 2013",Fax Issue
0AC7852A-BCDA-E111-AD34-0025B500016E,"February 13, 2013",Device Fault
0AC7852A-BCDA-E111-AD34-0025B500016E,"May 13, 2014",Damage
0AC7852A-BCDA-E111-AD34-0025B500016E,"September 3, 2014",Paper Jam
0AC7852A-BCDA-E111-AD34-0025B500016E,"September 22, 2014",Paper Jam
0AC7852A-BCDA-E111-AD34-0025B500016E,"May 1, 2015",Output Quality
0AC7852A-BCDA-E111-AD34-0025B500016E,"June 29, 2015",Device Fault
0AC7852A-BCDA-E111-AD34-0025B500016E,"August 28, 2015",Device Fault
0AC7852A-BCDA-E111-AD34-0025B500016E,"October 27, 2015",Output Quality
0AC7852A-BCDA-E111-AD34-0025B500016E,"November 3, 2015",Print Queue Management
0AC7852A-BCDA-E111-AD34-0025B500016E,"March 4, 2016",Accessory Issue
0AC7852A-BCDA-E111-AD34-0025B500016E,"March 8, 2016",Device Fault
0AC7852A-BCDA-E111-AD34-0025B500016E,"March 17, 2016",Damage
0B62E152-21D0-E111-97B2-0025B500016E,"September 26, 2012",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"October 12, 2012",Device Fault
0B62E152-21D0-E111-97B2-0025B500016E,"December 20, 2012",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"January 24, 2013",Device Fault
0B62E152-21D0-E111-97B2-0025B500016E,"January 29, 2013",Accessory Issue
0B62E152-21D0-E111-97B2-0025B500016E,"February 11, 2013",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"March 18, 2013",Environmental Issue
0B62E152-21D0-E111-97B2-0025B500016E,"March 20, 2013",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"June 12, 2013",Consumable Issue
0B62E152-21D0-E111-97B2-0025B500016E,"June 19, 2013",Consumable Issue
0B62E152-21D0-E111-97B2-0025B500016E,"October 21, 2013",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"November 5, 2013",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"November 6, 2013",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"February 10, 2014",Accessory Issue
0B62E152-21D0-E111-97B2-0025B500016E,"March 28, 2014",Output Quality
0B62E152-21D0-E111-97B2-0025B500016E,"June 18, 2014",Device Fault
0B62E152-21D0-E111-97B2-0025B500016E,"September 24, 2014",Damage
0B62E152-21D0-E111-97B2-0025B500016E,"January 6, 2015",Device Fault
0B62E152-21D0-E111-97B2-0025B500016E,"March 16, 2015",Accessory Issue
0B62E152-21D0-E111-97B2-0025B500016E,"November 9, 2015",Environmental Issue
0B62E152-21D0-E111-97B2-0025B500016E,"November 17, 2015",Device Fault
0B62E152-21D0-E111-97B2-0025B500016E,"December 3, 2015",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"January 7, 2016",Paper Jam
0B62E152-21D0-E111-97B2-0025B500016E,"March 21, 2016",Paper Jam
0CCB47AF-BCE5-E111-AEB9-0025B500016E,"September 6, 2012",Device Fault
0CCB47AF-BCE5-E111-AEB9-0025B500016E,"September 12, 2012",Accessory Issue
0CCB47AF-BCE5-E111-AEB9-0025B500016E,"November 28, 2012",Device Fault
0CCB47AF-BCE5-E111-AEB9-0025B500016E,"December 12, 2012",Device Fault
